seller_id,seller_state,total_orders,total_revenue,avg_order_value,avg_review,avg_delivery_days,late_rate_pct,states_served
4869f7a5...,SP,1117,247937.8,221.97,4.13,14.6,10.6,27
7c67e144...,SP,966,235936.88,244.24,3.48,22.0,9.2,24
4a3ca931...,SP,1726,233449.18,135.25,3.84,14.1,10.0,25
53243585...,BA,348,230797.02,663.21,4.17,13.0,3.5,26
fa1c13f2...,SP,571,200044.11,350.34,4.36,12.9,9.3,24
da8622b1...,SP,1295,185792.71,143.47,4.17,10.8,6.7,23
1025f0e2...,SP,898,172777.77,192.4,3.99,12.0,8.0,27
7e93a43e...,SP,318,171567.13,539.52,4.36,10.8,4.7,21
7a67c85e...,SP,1135,161274.41,142.09,4.27,10.8,5.3,26
955fee92...,SP,1255,156714.49,124.87,4.18,10.3,6.1,27
6560211a...,SP,1809,149292.84,82.53,3.95,9.1,5.3,25
1f50f920...,SP,1384,142385.0,102.88,4.14,15.4,9.0,23
46dc3b2c...,RJ,501,133841.56,267.15,4.24,11.5,5.8,21
a1043baf...,MG,699,130601.7,186.84,4.27,13.2,5.0,19
cc419e06...,SP,1648,127198.17,77.18,4.14,11.1,5.3,26
620c87c1...,RJ,720,126426.36,175.59,4.27,12.4,8.8,23
5dceca12...,SP,321,124028.54,386.38,3.96,11.1,5.6,24
7d13fca1...,SP,555,122805.41,221.27,4.03,15.3,11.5,24
3d871de0...,SP,1052,115694.65,109.98,4.16,13.1,5.5,23
edb1ef5e...,RJ,165,83241.26,504.49,4.44,11.4,7.3,18
