product_category_name_english,total_orders,total_revenue,avg_order_value,avg_review,avg_delivery_days,late_rate_pct,avg_freight_pct
health_beauty,8607,1410754.41,163.91,4.21,11.6,7.5,19.4
watches_gifts,5470,1261539.27,230.63,4.1,12.4,7.4,12.8
bed_bath_table,9167,1223852.92,133.51,3.97,12.6,7.5,19.9
sports_leisure,7490,1119060.16,149.41,4.21,11.8,6.6,19.9
computers_accessories,6500,1030615.59,158.56,4.06,12.7,6.4,20.6
furniture_decor,6213,884057.8,142.29,4.04,12.6,7.2,22.3
housewares,5688,760680.24,133.73,4.18,10.6,5.4,24.3
cool_stuff,3530,692902.01,196.29,4.19,11.9,5.9,15.8
auto,3792,669221.94,176.48,4.13,11.9,7.3,21.3
garden_tools,3414,567542.45,166.24,4.17,13.2,6.6,22.8
toys,3778,546339.39,144.61,4.21,11.3,6.4,18.8
baby,2763,466203.02,168.73,4.09,12.3,8.2,20.2
perfumery,3073,443861.79,144.44,4.25,11.4,6.6,17.7
telephony,4076,379433.05,93.09,4.03,12.5,7.1,30.2
office_furniture,1246,334080.2,268.12,3.62,20.2,8.1,20.0
stationery,2247,270092.54,120.2,4.28,12.3,6.6,21.0
pet_shop,1682,251051.1,149.26,4.26,10.9,5.1,20.3
computers,176,226944.67,1289.46,4.17,13.5,5.7,5.1
musical_instruments,607,202118.21,332.98,4.21,12.6,7.6,17.1
electronics,2507,202065.91,80.6,4.1,12.5,7.7,36.1
